CCTV4欧洲,${replace}/608807419
湖南4K,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
WTA WTA布里斯班站第五日 英文原声 09:00,${replace}/962140745
CGTN英语,http://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
广东影视1080p,http://rihou.cc:555/tv/[AtI]广东影视
浙江4K,https://play-qukan.cztv.com/live/1758879019692345.m3u8
BWF 马来西亚羽毛球公开赛第三日 1号场 09:00,${replace}/962141133
CGTN记录,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8
广东民生1080p,http://rihou.cc:555/tv/[AtI]广东民生
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
BWF 马来西亚羽毛球公开赛第三日 2号场 09:00,${replace}/962141254
CGTN俄语,http://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd.m3u8
广东经济科教1080p,http://rihou.cc:555/tv/[AtI]广东经济
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
BWF 马来西亚羽毛球公开赛第三日 3号场 09:10,${replace}/962141324
CGTN法语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8
广东大湾区卫视1080p,http://rihou.cc:555/tv/[AtI]广东湾区
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
NBA 马刺VS湖人 杨健 曾令旭 苏群 10:15,${replace}/962112113
CCTV4K,http://p.ytelc.com/169l/0/cctv.php?id=cctv4k
广州综合720p,http://r.jdshipin.com/iR6Gq
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
NBA 马刺VS湖人 郑泽鹏 10:25,${replace}/962112117
CCTV发现之旅,http://www.wmviv.com/iptv/bc2t.php?id=fxzl
广州综合720p,http://php.jdshipin.com:8880/gztv.php?id=zhonghe
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
NBA 马刺VS湖人 莫俊祺 10:25,${replace}/962112126
CCTV老故事,http://www.wmviv.com/iptv/bc2t.php?id=lgs
广州综合720p,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=9e5008d4b91944fa76a957a93ae54870&txTime=1903e5f1cfd
河北4K,http://106.53.99.30/tv/api.php?id=hebtv4k
NBA 马刺VS湖人 洪荒 10:25,${replace}/962112130
CGTN纪录,http://www.wmviv.com/iptv/bc2t.php?id=cgtnjl
翡翠台1080p,http://74.91.26.218:82/live/jade.m3u8
苏州4K,http://106.53.99.30/tv/api.php?id=sztv4k
NBA 马刺VS湖人 英文原声 10:25,${replace}/962112151
CCTV中学生,http://www.wmviv.com/iptv/bc2t.php?id=zxs
翡翠台1080p,https://o11.163189.xyz/stream/tvb/fct/
广东4K,http://ikuai.haleeyo.cn:9003/udp/239.77.0.27:5146
NBA 勇士VS雄鹿 连睿 马健 王润陶 10:45,${replace}/962111738
CGTN,http://www.wmviv.com/iptv/bc2t.php?id=cgtn
翡翠台1080p,http://bxtv.3a.ink/api.php?id=fct
广东4K,http://go.bkpcp.top:80/mg/gdws
NBA 勇士VS雄鹿 拜月宁 10:55,${replace}/962111748
海峡卫视,http://www.wmviv.com/iptv/bc2t.php?id=hxws
翡翠台1080p,http://rihou.cc:555/tv/[Pd]无线翡翠
广东4K,http://119.32.12.12:2901/udp/225.1.101.86:7523
NBA 勇士VS雄鹿 英文原声 10:55,${replace}/962111635
四海钓鱼,http://www.wmviv.com/iptv/bc2t.php?id=shdy
翡翠台1080p,http://r.jdshipin.com/62WM7
广州南国都市4K,https://tencentplaybusiness.gztv.com/live/nanguodushi.m3u8
NBA 开拓者VS火箭 庄宁宇 陈正昊 徐咏 10:45,${replace}/962112257
上视纪实人文,http://www.wmviv.com/iptv/bc2t.php?id=shjsrw
翡翠台1080p,http://mytv.cdn.loc.cc/o12.php?id=fct
广州南国都市4K,http://i.iill.top:12838/gztv/shenghuo
2025-10-21 06:29:08,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
NBA 开拓者VS火箭 周鹏 10:55,${replace}/962112272
乐游,http://www.wmviv.com/iptv/bc2t.php?id=ly
明珠台1080p,http://rihou.cc:555/tv/[Pd]无线明珠
湖南4K,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_HUNAN-4K/G_HUNAN-4K.m3u8
NBA 开拓者VS火箭 邢晨 10:55,${replace}/962112302
南京信息,http://live.nbs.cn/channels/njtv/xxpd/500k.m3u8?zjiangsd
游戏风云,http://www.wmviv.com/iptv/bc2t.php?id=yxfy
明珠台1080p,https://o11.163189.xyz/stream/tvb/mzt/
江苏4K,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_JIANGSU-4K/G_JIANGSU-4K.m3u8
NBA 开拓者VS火箭 英文原声 10:55,${replace}/962112206
南京十八,http://z.b.bkpcp.top/m.php?id=njsb
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
明珠台1080p,http://php.jdshipin.com/PLTV/iptv.php?id=mzt
浙江4K,https://play-qukan.cztv.com/live/1758879019692345.m3u8
网球联合杯 网球联合杯Day7 清流 14:00,${replace}/962091919
南京十八,http://live.nbs.cn/channels/njtv/sbpd/500k.m3u8
海峡卫视,http://8.138.7.223/tv/hxws.m3u8
明珠台1080p,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
东方4K,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_DONGFANG-4K/G_DONGFANG-4K.m3u8
网球联合杯 网球联合杯Day7 英文解说 14:00,${replace}/962091923
南京十八,https://live.nbs.cn/channels/njtv/sbpd/m3u8:500k/live.m3u8
延边卫视,http://120.76.248.139/live/bfgd/4200000117.m3u8
TVB1 1080p,http://iptv.4666888.xyz/iptv2A.php?id=25
东方4K,http://cdn.jdshipin.com/kkxw.php?id=1
WTT 王曼昱对决大藤 向鹏激战张本智和 周雨 周冠达 15:15,${replace}/961998097
南京十八,https://www.freetv.top/migu/838151753.m3u8?migutoken=8d26f1ff3a7322649e82c96f1a66d55d677c626a8ee62463a8c2625094b8270bd4345b1d0806f71840b81eac2b68f3a2aeabe6407feb4ee2f36580799b57c48c1418a87aee8ca513ec1544ca7a
农林卫视,http://120.76.248.139/live/bfgd/4200000122.m3u8
TVB1 1080p,https://cdn6.101.qzz.io/163189/yzwx
深圳4K,https://cdn3.163189.xyz/163189/szws4k
WTT 王曼昱对决大藤 向鹏激战张本智和 赛场原声 15:30,${replace}/961998074
南京十八,https://mgtv.ottiptv.cc/migu/838151753.m3u8?migutoken=e1c3c9e2e67541d90ea94c4c917f96ecf43c6c0ae7c616929d8676e7c14bc5587ba870ce22575333640bfff61b05d4d468f6564c6251023f1ad20957cfe3b2c12e71b4662f83dce5d920a86c29
山东教育,https://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
TVB1 1080p,https://6.cdn.loc.cc/163189.php?id=tvb1
四川4K,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_SICHUAN-4K/G_SICHUAN-4K.m3u8
WTT 王曼昱对决大藤 向鹏激战张本智和 智能字幕 15:30,${replace}/962162385
南京十八,https://migu.188766.xyz/?migutoken=f0e690fa7de59aaad328a7b4a38196cf&id=%E5%8D%97%E4%BA%AC%E5%8D%81%E5%85%AB%E9%A2%91%E9%81%93&type=yy
CGTN,http://112.27.235.94:8000/hls/17/index.m3u8
//以下全部来自互联网,所有内容仅供测试使用，请勿用于违法用途，如有冒犯请联系删除。
TVBJ1 1080p,http://iptv.4666888.xyz/iptv2A.php?id=26
山东4K,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_SHANDONG-4K/G_SHANDONG-4K.m3u8
WTT 王曼昱对决大藤 向鹏激战张本智和 AI轨迹实时追踪 15:30,${replace}/962162016
南京十八,https://mursor.ottiptv.cc/migu/838151753.m3u8?migutoken=71f2d3c2ed881bd3f09c8b8ff0a21c6c25b10c8e1f523debcb58cb9212792cdfaa95632b2b8fdccfd7deb5ee9f2b4f71bb6d8d903d73327707e481c372345073d32bac152ad0eb00b164075b13
上海卫视,http://112.27.235.94:8000/hls/28/index.m3u8
//永久免费꙰严禁商业꙰仅供测试꙰违者自负!꙰//       

//来源网络,免费分享，请勿追究，谢谢！//
TVBJ1 1080p,https://6.cdn.loc.cc/163189.php?id=j1
河南4K,http://115.58.216.210:4000/rtp/225.1.4.254:1300$河南电信
斯诺克 张安达、周跃龙、雷佩凡出战 1号桌 18:00,${replace}/962129040
南京十八,http://gslbmgsplive.miguvideo.com/migu/kailu/nanjingsb/50/20230719/index.m3u8?msisdn=202509190801349730ff2fd0254ae4ad096d68d3fc7f35&mdspid=&spid=699067&netType=0&sid=5910021864&pid=2028597139&timestamp=20250919080134&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=838151753&ParentNodeID=-99&assertID=5910021864&client_ip=106.13.250.88&SecurityKey=20250919080134&promotionId=&mvid=5900006207&mcid=500020&playurlVersion=WX-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=b0d57eedc76b6ea1b6b460ea0a8ac2d3&ddCalcu=3bd0e2d1c58a708eae0dace7066b46be6ab1
重温经典,http://112.27.235.94:8000/hls/50/index.m3u8
打赏才能长久,https://i.uik.cc/view.php/76bc8f27068f76f69f00a699e5cf73d8.mp4
TVBJ1 1080p,http://php.jdshipin.com/TVOD/iptv.php?id=j1
苏州4K,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8
斯诺克 张安达、周跃龙、雷佩凡出战 2号桌 18:00,${replace}/962129017
南京娱乐,http://live.nbs.cn/channels/njtv/ylpd/500k.m3u8?zjiangsd
纪实科教8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8
最新野草7EFE,https://i.uik.cc/view.php/76bc8f27068f76f69f00a699e5cf73d8.mp4
TVBJ1 1080p,https://6.cdn.loc.cc/163189.php?id=j1
湖南4K,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
斯诺克 张安达、周跃龙、雷佩凡出战 3号桌 18:00,${replace}/962129541
南京少儿,http://live.nbs.cn/channels/njtv/sepd/nbs23.m3u8
1905电影网,http://8.138.7.223/tv/1905.php?id=LIVE8J4LTCXPI7QJ5
操作说明,https://i.uik.cc/view.php/89382a6d307982b66cf7e52adec5fb10.mp4
TVB plus 1080p,http://74.91.26.218:82/live/j2.m3u8
CCTV4K,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_CCTV-4K-HD/G_CCTV-4K-HD.m3u8
斯诺克 张安达、周跃龙、雷佩凡出战 4号桌 18:00,${replace}/962130155
南京少儿,https://live.nbs.cn/channels/njtv/sepd/nbs23.m3u8
1905电影网（国内）,http://8.138.7.223/tv/1905.php?id=LIVEOYY31H24H48NE
常见问题,https://i.uik.cc/view.php/f83ac7f235adec732e793e4c95064c4f.mp4
TVB plus 1080p,https://o11.163189.xyz/stream/tvb/tvbp/
北京4K,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_BEIJING-4K/G_BEIJING-4K.m3u8
斯诺克 张安达、周跃龙、雷佩凡出战 5号桌 18:00,${replace}/962130636
南京教科,http://live.nbs.cn/channels/njtv/jkpd/nbs06.m3u8
搜狐剧场,https://hdl-vip-ws.qf.56.com/live/lc_11730.flv
攒劲频道被屏蔽,https://i.uik.cc/view.php/76bc8f27068f76f69f00a699e5cf73d8.mp4
TVB plus 1080p,http://bxtv.3a.ink/api.php?id=tvbp
广东4K,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_GUANGDONG-4K/G_GUANGDONG-4K.m3u8
斯诺克 张安达、周跃龙、雷佩凡出战 6号桌 18:00,${replace}/962129465
南京教科,http://z.b.bkpcp.top/m.php?id=njkj
重温经典,http://8.138.7.223/tv/cwjd.php
等换服务器更新,https://i.uik.cc/view.php/76bc8f27068f76f69f00a699e5cf73d8.mp4
TVB plus 1080p,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbp
深圳4K,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_SHENZHEN-4K/G_SHENZHEN-4K.m3u8
斯诺克 张安达、周跃龙、雷佩凡出战 7号桌 18:00,${replace}/962129547
南京教科,https://live.nbs.cn/channels/njtv/jkpd/nbs06.m3u8
新视觉HD,http://120.76.248.139/live/bfgd/4200000249.m3u8
CCTV4K,http://198.204.240.250:82/live/cctv4k.m3u8?jsbt=1760148172&jsbk=8ce47519e62b009dfa80f8fbfb2dd932
TVB plus 1080p,https://cdn6.163189.xyz/163189/tvbp
浙江4K,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_ZHEJIANG-4K/G_ZHEJIANG-4K.m3u8
斯诺克 张安达、周跃龙、雷佩凡出战 8号桌 18:00,${replace}/962129225
南京教科,https://www.freetv.top/migu/838153729.m3u8?migutoken=68341b05540f514ec344fce1684f8a66005aec759b66a516681cab444a9ba187b5fe8f24736f20a63bce950472d823cb104a3f9b1e3d92a9aaca7c063902981bf22e9689666398fd6a3f36c311
乐游频道,http://8.138.7.223/tv/shtv.php?id=ly
CCTV4K,http://198.204.240.250:82/live/cctv4k.m3u8?jsbt=1760495957&jsbk=138a7cd8fb02f369c744cf0ceb413e85
TVB星河720p,http://cdn10.163189.xyz/163189/xinghe
北京卫视频4k,http://106.53.99.30/tv/bj.php?id=bjws4k
WCBA 河南豫光金铅VS合肥文旅 解说 19:25,${replace}/962054361
南京教科,https://mgtv.ottiptv.cc/migu/838153729.m3u8?migutoken=0427a8c0867765b66984ce8ef774d494eeb52a2d6a7eefe17c4b03fa30923700917323b8951caa30617f3eecc1db2844cdff2f7470556533fbc072ad7a7cb0c6284344cc57983294a2b26f4303
鳳凰衛視中文台,http://bxtv.3a.ink/api.php?id=fhzw
凤凰咨询HD,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
TVB星河720p,https://cdn6.101.qzz.io/163189/tvbxh
东方卫视频4k,http://106.53.99.30/tv/api.php?id=dfws4k
WCBA 辽宁大连体产VS江西赣星 清流播出 19:25,${replace}/962054334
南京教科,https://migu.188766.xyz/?migutoken=86098e6420f5a0e910566b8ddc67d470&id=%E5%8D%97%E4%BA%AC%E6%95%99%E7%A7%91%E9%A2%91%E9%81%93&type=yy
鳳凰衛視資訊台,http://bxtv.3a.ink/api.php?id=fhzx
打赏留言加频道,https://cccimg.com/view.php/2f48310f470cb518da48a939728d75d5.mp4
TVB星河720p,http://rihou.cc:555/tv/[Pd]无线星河
深圳卫视频4k,http://106.53.99.30/tv/api.php?id=szws4k
U23亚洲杯 澳大利亚U23VS泰国U23 鹿中原 19:15,${replace}/962094225
南京教科,https://mursor.ottiptv.cc/migu/838153729.m3u8?migutoken=98de282c32eafc9a4b5acb6a30e117df1024ef4fac48d0348aa808540419b9072643b9f63e1411783dd42b9978f99128ce02062868fedeb4af89c194b9aa6722196b357ace002aa267e696cb66
鳳凰衛視香港台,http://bxtv.3a.ink/api.php?id=fhhk
🎶点歌台频道,https://live.iill.top/douyu/85894
TVB星河720p,http://rihou.cc:555/tv/[PL]无线星河
航拍中国,http://113.45.240.129:35455/huya/22414123
U23亚洲杯 澳大利亚U23VS泰国U23 赛场原声 19:15,${replace}/962094207
南京教科,http://gslbmgsplive.miguvideo.com/migu/kailu/nanjingkj/50/20230719/index.m3u8?msisdn=2025091908013422d2a0f4ed5e4511b896d3d3645248f2&mdspid=&spid=699067&netType=0&sid=5910021865&pid=2028597139&timestamp=20250919080134&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=838153729&ParentNodeID=-99&assertID=5910021865&client_ip=106.13.250.88&SecurityKey=20250919080134&promotionId=&mvid=5900006205&mcid=500020&playurlVersion=WX-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=52692ec9c72414583509ce0cd575172e&ddCalcu=e522e7611985207e5cd9cc07e2c491045538
無線新聞台,http://bxtv.3a.ink/api.php?id=wxxw
🎶周杰伦MV,https://live.iill.top/douyu/122402
TVB星河720p,http://r.jdshipin.com/Voac4
音乐石榴[音乐],http://113.45.240.129:35455/huya/17091681
NBL 杭州经纬VS湖北文旅 解说 19:20,${replace}/962152236
南京新闻综合,http://z.b.bkpcp.top/m.php?id=njxwzh
myTV SUPER 18台,http://bxtv.3a.ink/api.php?id=18
🎵音乐台长,http://www.douzhicloud.site:35455/douyu/9629943
TVB无线千禧1080p,http://bxtv.3a.ink/api.php?id=qxjd
CCTV4K,http://198.204.240.250:82/live/cctv4k.m3u8?jsbt=1760148172&jsbk=8ce47519e62b009dfa80f8fbfb2dd932
NBL 杭州经纬VS湖北文旅 现场原声 19:20,${replace}/962152248
南京新闻综合,http://live.nbs.cn/channels/njtv/xwzh/nbs06.m3u8
美亞電影台,http://bxtv.3a.ink/api.php?id=meiya
🎵TDI Radio TV,https://peer2.tdiradio.com/static/streaming-playlists/hls/8f5d84ce-e8ac-4109-9975-9665f5605557/master.m3u8
TVB无线千禧1080p,http://rihou.cc:555/tv/[Bx]无线千禧
康巴卫视,https://zby.130519.xyz/PLTV/11/224/3221225773/index.m3u8
浙江省城市篮球联赛 台州湾新区VS永康 25/26赛季浙江省城市篮球联赛: 台州湾新区VS永康 19:30,${replace}/961995126
南京新闻综合,https://live.nbs.cn/channels/njtv/xwzh/nbs06.m3u8
NOW爆谷星影台,https://bxtv.3a.ink/api.php?id=xingying
❤️4K视频,http://xjj1.716888.xyz/fenlei/4k/4k.php
TVB千禧经典1080p,https://o11.163189.xyz/stream/live/tvbc/
厦门卫视,https://zby.130519.xyz/PLTV/11/224/3221226008/index.m3u8
CBA 广州朗肽海本VS浙江稠州金租 图文直播 19:35,${replace}/961995403
南京新闻综合,https://www.freetv.top/migu/838109047.m3u8?migutoken=74a123656ffd42bf35e581516bd59c04fe4bcfe92f39e16931582e1b674ff2fc4d90da5f9b3dc796b8700456682cfb198f958ef81602312978e5168c1b35bb475fe775bf234a1c7965f918691c
NOW爆谷,https://bxtv.3a.ink/api.php?id=baogu
❥抖音女神,https://api.e1e1.top/crosswise/cw.php
TVB功夫720p,http://rihou.cc:555/tv/[Pd]无线功夫
兵团卫视,https://zby.130519.xyz/PLTV/11/224/3221226111/index.m3u8
CBA 长白山恩都里VS福建晋江文旅 图文直播 19:35,${replace}/961995408
南京新闻综合,https://mgtv.ottiptv.cc/migu/838109047.m3u8?migutoken=d3d943815e6d6e9e9493a9b4b1d5a1d360bb5f3c04230f6d4d71f7f7c9f30771d321f1c262008c92ffde17fef4a62d1e1c58d5a9454573fb1489994d9be29f4e1cc7786813b671581eda4b9439
澳视澳门,http://r.jdshipin.com/n2YZI
❥舞蹈,https://www.goodiptv.club/douyu/10308225
TVB功夫720p,https://cdn6.101.qzz.io/163189/yzwx
金色学堂,https://zby.130519.xyz/PLTV/11/224/3221225748/index.m3u8
CBA 山西汾酒VS天津先行者 图文直播 19:35,${replace}/961995415
南京新闻综合,https://migu.188766.xyz/?migutoken=dded42c9656aee80f87270572030de96&id=%E5%8D%97%E4%BA%AC%E6%96%B0%E9%97%BB%E7%BB%BC%E5%90%88%E9%A2%91%E9%81%93&type=yy
澳视卫星,http://r.jdshipin.com/QFhCq
❥热舞,https://www.goodiptv.club/douyu/10308312
TVB功夫720p,P2p://starvod.xyz:19806/6043814031384523bc272f4f87aeb298.ts
游戏风云,https://zby.130519.xyz/PLTV/11/224/3221226117/index.m3u8
CBA 四川丰谷酒业VS北京控股 图文直播 19:35,${replace}/961995417
南京新闻综合,https://mursor.ottiptv.cc/migu/838109047.m3u8?migutoken=fc1711b9c156db946a3c118fc27dae4c680e060dce4ac71e6daee3575118e0d40e394f66435e2a580495ab5e9c3d79668b5ed551ad777e18298343a466ce1308e398329241cfb78dcbdced39b1
台湾+,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/6282251407001/playlist.m3u8
❥韩国舞曲,https://xn--vusr00g.v.nxog.top/m/tv/xjj.php?id=0
TVB娱乐新闻台720p,https://cdn6.101.qzz.io/163189/ylxw
游戏风云,https://zby.130519.xyz/PLTV/11/224/3221226140/index.m3u8
U23亚洲杯 伊拉克U23VS中国U23 孙雨轩 杨晨 李子琪 21:30,${replace}/962094240
南京新闻综合,http://gslbmgsplive.miguvideo.com/migu/kailu/nanjingxwzh/50/20230719/index.m3u8?msisdn=202509190801346040f34e796a43e3821e1db9273c556a&mdspid=&spid=699067&netType=0&sid=5910021863&pid=2028597139&timestamp=20250919080134&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=838109047&ParentNodeID=-99&assertID=5910021863&client_ip=106.13.250.88&SecurityKey=20250919080134&promotionId=&mvid=5900006203&mcid=500020&playurlVersion=WX-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=de89fe41d47757280f2c68af5d15033a&ddCalcu=ad3ee3810985f01ed451fda48767c527f208
无线新闻,http://r.jdshipin.com/CkuBd
❥法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
TVB娱乐新闻台720p,http://rihou.cc:555/tv/[PL]无线娱乐
嘉佳卡通,https://zby.130519.xyz/PLTV/11/224/3221226021/index.m3u8
U23亚洲杯 伊拉克U23VS中国U23 赛场原声 21:45,${replace}/962094236
南京生活,https://live.nbs.cn/channels/njtv/shpd/m3u8:500k/live.m3u8
华丽翡翠台,http://r.jdshipin.com/thuYX
环球直播,https://live.iill.top/douyu/9036111
ViuTV 1080p,https://stream1.freetv.fun/5fc2ba313b387d2b2538a2e46aee6266cc10890fc8b8ccf478498b82af6f7c3b.m3u8
CCTV4欧洲,http://106.116.126.75:4022/rtp/239.254.201.205:4220
WTT 陈熠冲击16强 陈垣宇迎战林德 周泽昊 22:30,${replace}/961998132
南通新闻综合,https://mgtv.ottiptv.cc/migu/955227985.m3u8?migutoken=03e9c85f19b5ac291f5863436507873a8f47ec3c677c7857c89bda5778edc8e38fc38b4270aa374c49eee39b39ffaf80a20b750130c27760df766c0cf7b5d437be8dc60c1ced9117d98f6c9b3e
ViuTV,http://r.jdshipin.com/vSJvl
觉得好用,https://i.uik.cc/view.php/76bc8f27068f76f69f00a699e5cf73d8.mp4
ViuTV 1080p,https://stream1.freetv.fun/45181db55db70a3fc349faf2ef2b901599a9cbc7106f2674134cac2db74b2f81.m3u8
四川,http://171.213.222.181:8188/rtp/239.93.0.169:5140
WTT 陈熠冲击16强 陈垣宇迎战林德 赛场原声 22:30,${replace}/961998115
南通新闻综合,https://mursor.ottiptv.cc/migu/955227985.m3u8?migutoken=be267bde65321b03020def1e8efad6d03353e251d524566f48e873e9dd9d55f8c97e4ed4b30ee9079e46ad70c47b5fd76ddb351b8c4a1d3425dc45a91518f7dfe8f2ca008c97ab08852dbe49c3
HOY TV,http://r.jdshipin.com/sFw4S
请打赏观看,https://i.uik.cc/view.php/76bc8f27068f76f69f00a699e5cf73d8.mp4
ViuTV 1080p,https://cdn.163189.xyz/163189/viu
厦门卫视,http://171.213.154.159:8188/rtp/239.93.42.57:5140
WTT 陈熠冲击16强 陈垣宇迎战林德 英文解说 22:30,${replace}/961998123
南通新闻综合,https://migu.188766.xyz/?migutoken=61a3a9103235260cc82c94647d760ce5&id=%E5%8D%97%E9%80%9A%E6%96%B0%E9%97%BB%E7%BB%BC%E5%90%88&type=yy
海峡卫视,http://r.jdshipin.com/WtYt3
短剧设置默认比例,https://live.iill.top/douyu/4011851
ViuTV6 1080p,https://stream1.freetv.fun/732f193d67c8884d4ea74fab208403ff6495f2298e32f33ffbb019c1171ac507.ctv
说明：1、本源为免费源,请不要拿去贩卖，IP请求有一定限制，请求过多会自动封IP，免费时间视情况而定，不影响服务器稳定前提下可持续。
康巴卫视,http://171.213.131.151:1880/rtp/239.93.0.41:5140
WTT 陈熠冲击16强 陈垣宇迎战林德 AI轨迹实时追踪 22:30,${replace}/962162054
南通新闻综合,http://gslbmgsplive.miguvideo.com/migu/kailu/ntxwzh/51/20250604/index.m3u8?msisdn=202509190801352ef9ff3bad3f4a65b064683f87e439c3&mdspid=&spid=699067&netType=0&sid=5910022178&pid=2028597139&timestamp=20250919080135&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=955227985&ParentNodeID=-99&assertID=5910022178&client_ip=106.13.250.88&SecurityKey=20250919080135&promotionId=&mvid=5900006706&mcid=500020&playurlVersion=WX-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=98aea868da861defcb53a7c9f1ba5a81&ddCalcu=1988eaa15e5aa0b816f89dca78a6315dbecf
iNews新闻台,http://api.kkitv.itv888.vip:8080/streams/o0ey7z1y0y/index.m3u8
恐怖片胆小勿入,https://yylunbo.ottiptv.cc/yy/29460894
RHK31,http://156.238.248.80/2099.php?id=141
2、本源TG群：https://t.me/qytv888
          3、本源长期对外出租（含稳定央卫全套）,具体可联系详谈。
新疆频道,http://183.220.107.138:4022/rtp/239.11.0.58:5140
